feature_set,method,class_label,bin,bin_low,bin_high,n_samples,mean_predicted_probability,observed_frequency,absolute_gap
no_salary_hike_no_attrition_no_department,isotonic,3,3,0.2,0.30000000000000004,1,0.24842164748730025,0.0,0.24842164748730025
no_salary_hike_no_attrition_no_department,isotonic,3,6,0.5,0.6000000000000001,1,0.5607833855997303,0.0,0.5607833855997303
no_salary_hike_no_attrition_no_department,isotonic,3,7,0.6000000000000001,0.7000000000000001,4,0.6565928540676071,1.0,0.34340714593239285
no_salary_hike_no_attrition_no_department,isotonic,3,8,0.7000000000000001,0.8,34,0.7542215102856593,0.7941176470588235,0.03989613677316417
no_salary_hike_no_attrition_no_department,isotonic,3,9,0.8,0.9,12,0.8756406971252816,0.8333333333333334,0.042307363791948216
no_salary_hike_no_attrition_no_department,isotonic,3,10,0.9,1.0,52,0.9361740053918421,0.8653846153846154,0.07078939000722673
no_salary_hike_no_attrition_no_department,isotonic,4,1,0.0,0.1,78,0.05773216400147967,0.07692307692307693,0.019190912921597254
no_salary_hike_no_attrition_no_department,isotonic,4,2,0.1,0.2,10,0.14697865190258455,0.1,0.046978651902584545
no_salary_hike_no_attrition_no_department,isotonic,4,3,0.2,0.30000000000000004,30,0.2359957924915782,0.2,0.035995792491578193
no_salary_hike_no_attrition_no_department,isotonic,4,4,0.30000000000000004,0.4,2,0.3221127916111924,0.0,0.3221127916111924
no_salary_hike_no_attrition_no_department,raw,2,1,0.0,0.1,99,0.006552311285537756,0.020202020202020204,0.013649708916482449
no_salary_hike_no_attrition_no_department,raw,2,2,0.1,0.2,1,0.1250412942036933,0.0,0.1250412942036933
no_salary_hike_no_attrition_no_department,raw,2,3,0.2,0.30000000000000004,1,0.28979917443062,1.0,0.71020082556938
no_salary_hike_no_attrition_no_department,raw,2,6,0.5,0.6000000000000001,2,0.5406410043774814,1.0,0.4593589956225186
no_salary_hike_no_attrition_no_department,raw,2,7,0.6000000000000001,0.7000000000000001,5,0.675110894414927,1.0,0.324889105585073
no_salary_hike_no_attrition_no_department,raw,2,8,0.7000000000000001,0.8,1,0.7501138336939539,1.0,0.2498861663060461
no_salary_hike_no_attrition_no_department,raw,2,9,0.8,0.9,4,0.8716178628331408,0.5,0.3716178628331408
no_salary_hike_no_attrition_no_department,raw,2,10,0.9,1.0,7,0.9506237364007755,1.0,0.049376263599224535
no_salary_hike_no_attrition_no_department,raw,3,1,0.0,0.1,9,0.05271396412658907,0.1111111111111111,0.05839714698452204
no_salary_hike_no_attrition_no_department,raw,3,2,0.1,0.2,3,0.12133723312081479,0.3333333333333333,0.21199610021251852
no_salary_hike_no_attrition_no_department,raw,3,3,0.2,0.30000000000000004,1,0.2274250821724583,0.0,0.2274250821724583
no_salary_hike_no_attrition_no_department,raw,3,4,0.30000000000000004,0.4,4,0.31386623450487766,0.0,0.31386623450487766
no_salary_hike_no_attrition_no_department,raw,3,5,0.4,0.5,2,0.40811633645952106,0.0,0.40811633645952106
no_salary_hike_no_attrition_no_department,raw,3,6,0.5,0.6000000000000001,3,0.5555579577238036,1.0,0.44444204227619644
no_salary_hike_no_attrition_no_department,raw,3,7,0.6000000000000001,0.7000000000000001,6,0.6823653529976128,0.6666666666666666,0.015698686330946177
no_salary_hike_no_attrition_no_department,raw,3,8,0.7000000000000001,0.8,6,0.7613938540312838,0.8333333333333334,0.07193947930204958
no_salary_hike_no_attrition_no_department,raw,3,9,0.8,0.9,15,0.8637410371258234,0.9333333333333333,0.06959229620750995
no_salary_hike_no_attrition_no_department,raw,3,10,0.9,1.0,71,0.9539832925620715,0.8309859154929577,0.12299737706911373
no_salary_hike_no_attrition_no_department,raw,4,1,0.0,0.1,91,0.03363404920724389,0.10989010989010989,0.076256060682866
