feature_set,method,fold,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,quadratic_weighted_kappa,adjacent_accuracy,severe_error_rate,nll_log_loss,multiclass_brier,ece_confidence
no_salary_hike_no_attrition,isotonic,9,0.8333333333333334,0.5756704980842912,0.568515884305358,0.783819345661451,0.5691985532076909,0.7453597944031981,0.5756704980842912,0.8333333333333334,0.16666666666666666,0.5834779590419993,1.0,0.0,0.5524007750531604,0.3061575310693658,0.0841194754391712
no_salary_hike_no_attrition,raw,10,0.85,0.6218390804597701,0.608767576509512,0.8086848635235733,0.5986177565124934,0.7730462519936204,0.6218390804597701,0.85,0.15,0.6539570650432553,1.0,0.0,0.4499141251322119,0.24335889149920345,0.08242987302204284
no_salary_hike_no_attrition,sigmoid,10,0.8666666666666667,0.6295019157088123,0.6126568466993999,0.8171440261865794,0.5996178565224943,0.7752214695153725,0.6295019157088123,0.8666666666666667,0.13333333333333333,0.6786072982926012,1.0,0.0,0.4174303271944678,0.2352560438296795,0.05739075657773805
no_salary_hike_no_attrition,isotonic,10,0.8666666666666667,0.6295019157088123,0.6126568466993999,0.8171440261865794,0.5996178565224943,0.7752214695153725,0.6295019157088123,0.8666666666666667,0.13333333333333333,0.6786072982926012,1.0,0.0,0.3954868105895549,0.23517287965005326,0.06641626060386599
no_salary_hike_no_attrition_no_department,raw,1,0.875,0.6809440559440559,0.6674174174174174,0.838734984984985,0.7603501881852397,0.8400323187694322,0.6809440559440559,0.875,0.125,0.7175141242937852,1.0,0.0,0.45864989854677185,0.24123179626451705,0.09503996094925149
no_salary_hike_no_attrition_no_department,sigmoid,1,0.875,0.6590909090909091,0.6232620320855614,0.8249264705882352,0.5911495911495912,0.7802910052910053,0.6590909090909091,0.875,0.125,0.7053045186640472,1.0,0.0,0.4173207278226928,0.2353567839289941,0.07343630303008022
no_salary_hike_no_attrition_no_department,isotonic,1,0.875,0.6809440559440559,0.6674174174174174,0.838734984984985,0.7603501881852397,0.8400323187694322,0.6809440559440559,0.875,0.125,0.7175141242937852,1.0,0.0,0.7925853772834073,0.23720047940993158,0.07101785029467189
no_salary_hike_no_attrition_no_department,raw,2,0.85,0.6202153110047847,0.5996640537513999,0.8047872340425533,0.5815789473684211,0.765,0.6202153110047847,0.85,0.15,0.6414342629482073,1.0,0.0,0.5197273151535503,0.27414664769053304,0.11088302573205307
no_salary_hike_no_attrition_no_department,sigmoid,2,0.8583333333333333,0.6240031897926634,0.6015965840527243,0.8090388007054673,0.5820739968733716,0.7660891089108911,0.6240031897926634,0.8583333333333333,0.14166666666666666,0.6537678207739307,1.0,0.0,0.47433531460865114,0.2640321498240521,0.084515982168079
no_salary_hike_no_attrition_no_department,isotonic,2,0.8416666666666667,0.616427432216906,0.5900635312400019,0.7968577174459528,0.5661616161616162,0.7568055555555555,0.616427432216906,0.8416666666666667,0.15833333333333333,0.6281800391389433,1.0,0.0,0.61199335505227,0.28164323779017125,0.062123340541708184
no_salary_hike_no_attrition_no_department,raw,3,0.8583333333333333,0.6596123175070543,0.6471471471471472,0.8228903903903905,0.7410407461953854,0.824932498772705,0.6596123175070543,0.8583333333333333,0.14166666666666666,0.67984934086629,1.0,0.0,0.49386809525455383,0.2616181814893089,0.09214556641052549
no_salary_hike_no_attrition_no_department,sigmoid,3,0.8583333333333333,0.6377591706539075,0.603030303030303,0.8091666666666666,0.5719095719095719,0.7653439153439154,0.6377591706539075,0.8583333333333333,0.14166666666666666,0.6660117878192534,1.0,0.0,0.4475124391790878,0.254703559955795,0.054267116972267944
no_salary_hike_no_attrition_no_department,isotonic,3,0.8666666666666667,0.6634001962949331,0.6522785458269329,0.8282270865335382,0.9081632653061225,0.8801020408163266,0.6634001962949331,0.8666666666666667,0.13333333333333333,0.6923076923076923,1.0,0.0,0.6859649943947469,0.24860774731804772,0.09047459401295596
no_salary_hike_no_attrition_no_department,raw,4,0.8166666666666667,0.6050637958532695,0.5570441523424334,0.7708459723626558,0.5173611111111112,0.7309027777777778,0.6050637958532695,0.8166666666666667,0.18333333333333332,0.5895522388059702,1.0,0.0,0.5195381183908414,0.297019601255127,0.08264785071085728
no_salary_hike_no_attrition_no_department,sigmoid,4,0.8,0.5699760765550239,0.5342250196695515,0.7545633359559402,0.5027829313543599,0.7140769944341373,0.5699760765550239,0.8,0.2,0.5366795366795367,1.0,0.0,0.479517005572367,0.2906692498082542,0.04861598939170998
no_salary_hike_no_attrition_no_department,isotonic,4,0.8166666666666667,0.6050637958532695,0.5570441523424334,0.7708459723626558,0.5173611111111112,0.7309027777777778,0.6050637958532695,0.8166666666666667,0.18333333333333332,0.5895522388059702,1.0,0.0,0.6062113355055229,0.29291772659956766,0.04064218104609175
no_salary_hike_no_attrition_no_department,raw,5,0.85,0.6438942183043816,0.6304804804804806,0.8085172672672674,0.8888888888888888,0.8662698412698412,0.6438942183043816,0.85,0.15833333333333333,0.6062500000000001,0.9916666666666667,0.008333333333333333,0.45483357440892674,0.2630679947034676,0.08149189181919489
no_salary_hike_no_attrition_no_department,sigmoid,5,0.85,0.6239161121193789,0.5996640537513999,0.7972517730496453,0.5787736668403682,0.7518151815181519,0.6239161121193789,0.85,0.15,0.6429752066115701,1.0,0.0,0.44833462601491997,0.25931750875763143,0.029515102087092068
no_salary_hike_no_attrition_no_department,isotonic,5,0.8416666666666667,0.6200846944948578,0.5844086021505376,0.7894220430107526,0.5526695526695526,0.7433261183261184,0.6200846944948578,0.8416666666666667,0.16666666666666666,0.5789473684210527,0.9916666666666667,0.008333333333333333,0.42561551116450996,0.25794395059216885,0.03365143676362621
no_salary_hike_no_attrition_no_department,raw,6,0.85,0.6576066603289833,0.6325266718709341,0.8089201144938849,0.8823973429951691,0.8674026268115943,0.6576066603289833,0.85,0.15833333333333333,0.6193353474320242,0.9916666666666667,0.008333333333333333,0.4959713047010424,0.2738783805114811,0.10802053132139934
no_salary_hike_no_attrition_no_department,sigmoid,6,0.8416666666666667,0.6337971365194596,0.5864389233954451,0.7897903726708075,0.5460929329149858,0.7442738682205288,0.6337971365194596,0.8416666666666667,0.16666666666666666,0.5932203389830508,0.9916666666666667,0.008333333333333333,0.4723610446774543,0.27188970517270583,0.05512285088449354
no_salary_hike_no_attrition_no_department,isotonic,6,0.8416666666666667,0.6337971365194596,0.5864389233954451,0.7897903726708075,0.5460929329149858,0.7442738682205288,0.6337971365194596,0.8416666666666667,0.16666666666666666,0.5932203389830508,0.9916666666666667,0.008333333333333333,0.722476958186887,0.2733318562930339,0.02626527255893742
no_salary_hike_no_attrition_no_department,raw,7,0.8583333333333333,0.6513409961685824,0.612445461092049,0.8126890329139662,0.5780495169082126,0.7717504528985508,0.6513409961685824,0.8583333333333333,0.14166666666666666,0.6876913655848133,1.0,0.0,0.47249842873122483,0.26439309404011324,0.10018983522058647
