feature_set,model,attribute,metric,class_label,point_estimate,ci_low,ci_high,bootstrap_std,n_boot_valid,n_groups_included,min_group_value,min_group_support,min,max_group_value,max_group_support,max,min_group_support_threshold
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,false_positive_rate,2.0,0.0053673391701560685,0.003406932294953985,0.04545290940930343,0.010952046862524059,500,3,Non-Travel,132,0.02702702702702703,Travel_Rarely,846,0.0323943661971831,30
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,macro_f1,,0.01869954638412319,0.005343539197154107,0.0676162143556926,0.015942820556906323,500,3,Travel_Frequently,222,0.5872189349112426,Non-Travel,132,0.6059184812953657,30
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,mean_predicted_probability,3.0,0.030712408315776263,0.00919067378143933,0.09587250431105253,0.021805442206708908,500,3,Non-Travel,132,0.7266638533099357,Travel_Rarely,846,0.7573762616257119,30
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,mean_predicted_probability,4.0,0.02676444215193237,0.01141571884966979,0.04977404022798475,0.009721655296795657,500,3,Travel_Rarely,846,0.0814048298750178,Non-Travel,132,0.10816927202695018,30
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,mean_predicted_probability,2.0,0.0057165604288218486,0.005912731350854159,0.0835675226921357,0.02101820371195686,500,3,Travel_Rarely,846,0.161218908324114,Travel_Frequently,222,0.16693546875293586,30
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,positive_prediction_rate,3.0,0.025798525798525818,0.008679906205725606,0.1219487024736212,0.029288489757745798,500,3,Non-Travel,132,0.803030303030303,Travel_Frequently,222,0.8288288288288288,30
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,positive_prediction_rate,4.0,0.015151515151515152,0.0005367231638418095,0.04132231404958678,0.010993562142871333,500,3,Travel_Frequently,222,0.0,Non-Travel,132,0.015151515151515152,30
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,positive_prediction_rate,2.0,0.010647010647010652,0.0064243037597852696,0.10417707682209047,0.02545132665949468,500,3,Travel_Frequently,222,0.17117117117117117,Non-Travel,132,0.18181818181818182,30
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,precision,4.0,0.5,0.0,1.0,0.39786435876406395,487,2,Non-Travel,132,0.0,Travel_Rarely,846,0.5,30
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,precision,3.0,0.055739565839397875,0.014079285366937082,0.1364052698201917,0.0306145694918243,500,3,Travel_Frequently,222,0.8097826086956522,Travel_Rarely,846,0.8655221745350501,30
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,precision,2.0,0.0336206896551724,0.020844689070054042,0.20765086206896544,0.04895580294427051,500,3,Travel_Rarely,846,0.8413793103448276,Non-Travel,132,0.875,30
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,true_positive_rate,2.0,0.10810810810810811,0.07217499999999995,0.21621621621621623,0.037587796569418276,500,3,Travel_Frequently,222,0.8918918918918919,Non-Travel,132,1.0,30
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,true_positive_rate,3.0,0.021295908392682583,0.006152674637734473,0.0785448513952104,0.020150611172229386,500,3,Non-Travel,132,0.946236559139785,Travel_Frequently,222,0.9675324675324676,30
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,true_positive_rate,4.0,0.012048192771084338,0.0,0.034325189443428245,0.010947796878946486,500,3,Non-Travel,132,0.0,Travel_Rarely,846,0.012048192771084338,30
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,accuracy,,0.048787878787878824,0.027754465567161404,0.16987815995114358,0.03776889964893786,500,5,Technical Degree,100,0.83,Other,66,0.8787878787878788,30
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,false_positive_rate,3.0,0.39767441860465114,0.1619034565580618,0.7293313069908811,0.14516309491923673,500,5,Marketing,137,0.3023255813953488,Other,66,0.7,30
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,false_positive_rate,2.0,0.04894179894179894,0.02304305220221628,0.1117654707228472,0.02234591895033146,500,5,Other,66,0.015873015873015872,Marketing,137,0.06481481481481481,30
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,false_positive_rate,4.0,0.011363636363636364,0.0,0.03854978354978353,0.009954923183372016,500,5,Marketing,137,0.0,Technical Degree,100,0.011363636363636364,30
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,macro_f1,,0.052340850870262634,0.030418534119871252,0.3120670375465391,0.0655556267291547,500,5,Life Sciences,492,0.5846249610955493,Marketing,137,0.6369658119658119,30
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,mean_predicted_probability,2.0,0.1661158805247197,0.098255859645383,0.23821146417281386,0.03709018506770151,500,5,Other,66,0.060154982082277604,Marketing,137,0.2262708626069973,30
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,mean_predicted_probability,3.0,0.149708072376186,0.09036420578386285,0.21483186007873767,0.033101915271988,500,5,Marketing,137,0.7080319312394318,Other,66,0.8577400036156178,30
