feature_set,model,attribute,group_value,n_samples,support_warning,class_label,accuracy,macro_f1,actual_class_support,predicted_class_support,positive_prediction_rate,true_positive_rate,false_positive_rate,precision,mean_predicted_probability
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,Marketing,137,False,3,0.8540145985401459,0.6369658119658119,94,101,0.7372262773722628,0.9361702127659575,0.3023255813953488,0.8712871287128713,0.7080319312394318
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,Marketing,137,False,4,0.8540145985401459,0.6369658119658119,14,1,0.0072992700729927005,0.07142857142857142,0.0,1.0,0.0656972077197606
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,Medical,384,False,2,0.8619791666666666,0.6055251828962311,63,63,0.1640625,0.9047619047619048,0.018691588785046728,0.9047619047619048,0.15775125812814395
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,Medical,384,False,3,0.8619791666666666,0.6055251828962311,281,320,0.8333333333333334,0.9750889679715302,0.44660194174757284,0.85625,0.7537171085593096
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,Medical,384,False,4,0.8619791666666666,0.6055251828962311,40,1,0.0026041666666666665,0.0,0.0029069767441860465,0.0,0.08853163298590516
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,Other,66,False,2,0.8787878787878788,0.5964487489911218,3,4,0.06060606060606061,1.0,0.015873015873015872,0.75,0.06015498208227765
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,Other,66,False,3,0.8787878787878788,0.5964487489911218,56,62,0.9393939393939394,0.9821428571428571,0.7,0.8870967741935484,0.8577400036156178
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,Other,66,False,4,0.8787878787878788,0.5964487489911218,7,0,0.0,0.0,0.0,,0.08210501708725298
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,Technical Degree,100,False,2,0.83,0.5921020358106451,18,18,0.18,0.8888888888888888,0.024390243902439025,0.8888888888888888,0.168060319058568
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,Technical Degree,100,False,3,0.83,0.5921020358106451,70,81,0.81,0.9571428571428572,0.4666666666666667,0.8271604938271605,0.735040920600295
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,Technical Degree,100,False,4,0.83,0.5921020358106451,12,1,0.01,0.0,0.011363636363636364,0.0,0.09689876311225816
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,Non-Travel,132,False,2,0.8257575757575758,0.6059184812953657,21,24,0.18181818181818182,1.0,0.02702702702702703,0.875,0.1651668761747494
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,Non-Travel,132,False,3,0.8257575757575758,0.6059184812953657,93,106,0.803030303030303,0.946236559139785,0.46153846153846156,0.8301886792452831,0.7266638533099357
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,Non-Travel,132,False,4,0.8257575757575758,0.6059184812953657,18,2,0.015151515151515152,0.0,0.017543859649122806,0.0,0.10816927202695022
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,Travel_Frequently,222,False,2,0.8198198198198198,0.5872189349112426,37,38,0.17117117117117117,0.8918918918918919,0.02702702702702703,0.868421052631579,0.16693546875293586
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,Travel_Frequently,222,False,3,0.8198198198198198,0.5872189349112426,154,184,0.8288288288288288,0.9675324675324676,0.5147058823529411,0.8097826086956522,0.7341981735709753
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,Travel_Frequently,222,False,4,0.8198198198198198,0.5872189349112426,31,0,0.0,0.0,0.0,,0.09886635573232663
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,Travel_Rarely,846,False,2,0.8605200945626478,0.6014585558650871,136,145,0.17139479905437352,0.8970588235294118,0.0323943661971831,0.8413793103448276,0.161218908324114
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,Travel_Rarely,846,False,3,0.8605200945626478,0.6014585558650871,627,699,0.8262411347517731,0.9649122807017544,0.4292237442922374,0.8655221745350501,0.7573762616257119
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,Travel_Rarely,846,False,4,0.8605200945626478,0.6014585558650871,83,2,0.002364066193853428,0.012048192771084338,0.001310615989515072,0.5,0.08140482987501783
no_salary_hike_no_attrition_no_department_no_job_role,xgboost,Gender,Female,475,False,2,0.8126315789473684,0.5745823126688022,75,85,0.17894736842105263,0.8266666666666667,0.0575,0.7294117647058823,0.16144912795595653
no_salary_hike_no_attrition_no_department_no_job_role,xgboost,Gender,Female,475,False,3,0.8126315789473684,0.5745823126688022,349,383,0.8063157894736842,0.9226361031518625,0.48412698412698413,0.8407310704960835,0.7511584961884901
no_salary_hike_no_attrition_no_department_no_job_role,xgboost,Gender,Female,475,False,4,0.8126315789473684,0.5745823126688022,51,7,0.014736842105263158,0.0392156862745098,0.01179245283018868,0.2857142857142857,0.08739237793794784
no_salary_hike_no_attrition_no_department_no_job_role,xgboost,Gender,Male,725,False,2,0.7875862068965517,0.5319698580568146,119,140,0.19310344827586207,0.7983193277310925,0.07425742574257425,0.6785714285714286,0.16467547139907576
no_salary_hike_no_attrition_no_department_no_job_role,xgboost,Gender,Male,725,False,3,0.7875862068965517,0.5319698580568146,525,579,0.7986206896551724,0.9066666666666666,0.515,0.8221070811744386,0.7465878323902344
no_salary_hike_no_attrition_no_department_no_job_role,xgboost,Gender,Male,725,False,4,0.7875862068965517,0.5319698580568146,81,6,0.008275862068965517,0.0,0.009316770186335404,0.0,0.08873669524179321
no_salary_hike_no_attrition_no_department_no_job_role,xgboost,MaritalStatus,Divorced,268,False,2,0.8208955223880597,0.5509186808091346,37,44,0.16417910447761194,0.8378378378378378,0.05627705627705628,0.7045454545454546,0.14379461467354698
