feature_set,model,attribute,metric,n_groups_included,min_group_value,min_group_support,min,max_group_value,max_group_support,max,max_gap,min_group_support_threshold,class_label
no_salary_hike_no_attrition,xgboost,MaritalStatus,positive_prediction_rate,3,Married,548,0.0018248175182481751,Divorced,268,0.0037313432835820895,0.0019065257653339144,30,4.0
no_salary_hike_no_attrition,xgboost,MaritalStatus,precision,3,Divorced,268,0.0,Married,548,1.0,1.0,30,4.0
no_salary_hike_no_attrition,xgboost,MaritalStatus,precision,3,Married,548,0.8584905660377359,Divorced,268,0.9393939393939394,0.08090337335620357,30,2.0
no_salary_hike_no_attrition,xgboost,MaritalStatus,precision,3,Single,384,0.8322981366459627,Divorced,268,0.8632478632478633,0.03094972660190054,30,3.0
no_salary_hike_no_attrition,xgboost,MaritalStatus,true_positive_rate,3,Divorced,268,0.8378378378378378,Single,384,0.9298245614035088,0.09198672356567095,30,2.0
no_salary_hike_no_attrition,xgboost,MaritalStatus,true_positive_rate,3,Married,548,0.9643765903307888,Divorced,268,0.9853658536585366,0.020989263327747754,30,3.0
no_salary_hike_no_attrition,xgboost,MaritalStatus,true_positive_rate,3,Divorced,268,0.0,Married,548,0.01818181818181818,0.01818181818181818,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,accuracy,3,Travel_Frequently,222,0.8198198198198198,Travel_Rarely,846,0.8605200945626478,0.040700274742828,30,
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,false_positive_rate,3,Travel_Rarely,846,0.4292237442922374,Travel_Frequently,222,0.5147058823529411,0.0854821380607037,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,false_positive_rate,3,Travel_Frequently,222,0.0,Non-Travel,132,0.017543859649122806,0.017543859649122806,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,false_positive_rate,3,Non-Travel,132,0.02702702702702703,Travel_Rarely,846,0.0323943661971831,0.0053673391701560685,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,macro_f1,3,Travel_Frequently,222,0.5872189349112426,Non-Travel,132,0.6059184812953657,0.01869954638412319,30,
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,mean_predicted_probability,3,Non-Travel,132,0.7266638533099357,Travel_Rarely,846,0.7573762616257119,0.030712408315776263,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,mean_predicted_probability,3,Travel_Rarely,846,0.08140482987501783,Non-Travel,132,0.10816927202695022,0.026764442151932383,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,mean_predicted_probability,3,Travel_Rarely,846,0.161218908324114,Travel_Frequently,222,0.16693546875293586,0.0057165604288218486,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,positive_prediction_rate,3,Non-Travel,132,0.803030303030303,Travel_Frequently,222,0.8288288288288288,0.025798525798525818,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,positive_prediction_rate,3,Travel_Frequently,222,0.0,Non-Travel,132,0.015151515151515152,0.015151515151515152,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,positive_prediction_rate,3,Travel_Frequently,222,0.17117117117117117,Non-Travel,132,0.18181818181818182,0.010647010647010652,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,precision,2,Non-Travel,132,0.0,Travel_Rarely,846,0.5,0.5,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,precision,3,Travel_Frequently,222,0.8097826086956522,Travel_Rarely,846,0.8655221745350501,0.055739565839397875,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,precision,3,Travel_Rarely,846,0.8413793103448276,Non-Travel,132,0.875,0.0336206896551724,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,true_positive_rate,3,Travel_Frequently,222,0.8918918918918919,Non-Travel,132,1.0,0.10810810810810811,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,true_positive_rate,3,Non-Travel,132,0.946236559139785,Travel_Frequently,222,0.9675324675324676,0.021295908392682583,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,true_positive_rate,3,Non-Travel,132,0.0,Travel_Rarely,846,0.012048192771084338,0.012048192771084338,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,accuracy,5,Technical Degree,100,0.83,Other,66,0.8787878787878788,0.048787878787878824,30,
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,false_positive_rate,5,Marketing,137,0.3023255813953488,Other,66,0.7,0.39767441860465114,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,false_positive_rate,5,Other,66,0.015873015873015872,Marketing,137,0.06481481481481481,0.04894179894179894,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,false_positive_rate,5,Marketing,137,0.0,Technical Degree,100,0.011363636363636364,0.011363636363636364,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,macro_f1,5,Life Sciences,492,0.5846249610955493,Marketing,137,0.6369658119658119,0.052340850870262634,30,
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,mean_predicted_probability,5,Other,66,0.06015498208227765,Marketing,137,0.2262708626069973,0.16611588052471965,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,mean_predicted_probability,5,Marketing,137,0.7080319312394318,Other,66,0.8577400036156178,0.149708072376186,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,mean_predicted_probability,5,Marketing,137,0.0656972077197606,Technical Degree,100,0.09689876311225816,0.031201555392497554,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,positive_prediction_rate,5,Marketing,137,0.7372262773722628,Other,66,0.9393939393939394,0.2021676620216767,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,positive_prediction_rate,5,Other,66,0.06060606060606061,Marketing,137,0.25547445255474455,0.19486839194868394,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,positive_prediction_rate,5,Other,66,0.0,Technical Degree,100,0.01,0.01,30,4.0
