feature_set,n_features,fold,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,quadratic_weighted_kappa,adjacent_accuracy,severe_error_rate,roc_auc_ovr_macro,roc_auc_ovr_weighted,pr_auc_macro,pr_auc_weighted
career_tenure_only,7,9,0.6833333333333333,0.31417624521072796,0.2706270627062706,0.5886138613861386,0.23768115942028986,0.5169565217391304,0.31417624521072796,0.6833333333333333,0.31666666666666665,-0.015590200445434244,1.0,0.0,0.6069812043478656,0.6302173015198717,0.4164152354965021,0.6629658201211571
career_tenure_only,7,10,0.7333333333333333,0.3628352490421456,0.33901676612674053,0.6402600170502984,0.4672364672364672,0.6440170940170941,0.3628352490421456,0.7333333333333333,0.26666666666666666,0.10238429172510533,1.0,0.0,0.688233424004291,0.6755070801472669,0.4983673095454943,0.7088427320387457
compensation_only,2,1,0.7833333333333333,0.6102012023064655,0.5655276165914463,0.7335546958951215,0.6001307189542483,0.7242091503267972,0.6102012023064655,0.7833333333333333,0.23333333333333334,0.4007490636704121,0.9833333333333333,0.016666666666666666,0.7575215057202777,0.726475847059005,0.6142151217634643,0.7473789772135571
compensation_only,2,2,0.7666666666666667,0.5014568764568764,0.48209249858996056,0.6960201635645797,0.4720600500417014,0.6408048373644704,0.5014568764568764,0.7666666666666667,0.24166666666666667,0.2970521541950114,0.9916666666666667,0.008333333333333333,0.733595694786889,0.7000511700556739,0.6164573762084782,0.7399636880398573
compensation_only,2,3,0.7833333333333333,0.5527389277389277,0.5109698329593618,0.7223479182248816,0.4750809061488673,0.6701779935275081,0.5527389277389277,0.7833333333333333,0.25833333333333336,0.1848906560636182,0.9583333333333334,0.041666666666666664,0.6957298620803377,0.7051206683168317,0.5624525639662892,0.7108535155052171
compensation_only,2,4,0.7416666666666667,0.5475555146607778,0.500885960444784,0.69562470821662,0.5905546695020379,0.7156676413255362,0.5475555146607778,0.7416666666666667,0.275,0.32358318098720296,0.9833333333333333,0.016666666666666666,0.7402050159280184,0.7306107538323926,0.5281308465965994,0.7417652015180167
compensation_only,2,5,0.7583333333333333,0.548440065681445,0.4864010120177103,0.700079063883618,0.43939393939393945,0.6515151515151516,0.548440065681445,0.7583333333333333,0.2833333333333333,0.2083958020989506,0.9583333333333334,0.041666666666666664,0.6399064602308505,0.648186021432332,0.5270873730653739,0.6695590879778026
compensation_only,2,6,0.7833333333333333,0.5998905309250137,0.5407801418439716,0.7199468085106383,0.4928492849284929,0.6663916391639163,0.5998905309250137,0.7833333333333333,0.23333333333333334,0.40093603744149775,0.9833333333333333,0.016666666666666666,0.6390155535178865,0.6201620279952523,0.47314308573439545,0.6332613077247304
compensation_only,2,7,0.7916666666666666,0.5602711464780431,0.5355326460481099,0.7207835051546392,0.5179127725856697,0.6639602803738318,0.5602711464780431,0.7916666666666666,0.23333333333333334,0.2809305604511808,0.975,0.025,0.6794128524225204,0.6580138298876615,0.5842713515556871,0.6881442288287908
compensation_only,2,8,0.7833333333333333,0.556439728853522,0.5094246031746031,0.7115699404761905,0.4698412698412698,0.6519047619047619,0.556439728853522,0.7833333333333333,0.25,0.2361809045226131,0.9666666666666667,0.03333333333333333,0.6659191430488562,0.6525824365146795,0.5523855950411148,0.668697603495859
compensation_only,2,9,0.7583333333333333,0.5359711170055997,0.5090341100979399,0.7082404593042891,0.5317381738173818,0.6880583058305831,0.5359711170055997,0.7583333333333333,0.2833333333333333,0.17422583672192682,0.9583333333333334,0.041666666666666664,0.7294774410816145,0.7161844968375344,0.5313517764419072,0.7185441578041635
compensation_only,2,10,0.7666666666666667,0.5705865016209843,0.499113475177305,0.7001551418439717,0.44606565919749874,0.6456314052457877,0.5705865016209843,0.7666666666666667,0.26666666666666666,0.26221948970181375,0.9666666666666667,0.03333333333333333,0.7053984766352636,0.6830427994902293,0.5047291837009077,0.6755284817727643
role_org_only,6,1,0.7333333333333333,0.3333333333333333,0.28205128205128205,0.6205128205128205,0.24444444444444444,0.5377777777777778,0.3333333333333333,0.7333333333333333,0.26666666666666666,0.0,1.0,0.0,0.6458840784581339,0.6640230411037599,0.44128948252232875,0.6809307312890756
role_org_only,6,2,0.7333333333333333,0.3333333333333333,0.28205128205128205,0.6205128205128205,0.24444444444444444,0.5377777777777778,0.3333333333333333,0.7333333333333333,0.26666666666666666,0.0,1.0,0.0,0.6248324243390394,0.629158702596311,0.4211676790482464,0.667566641146803
role_org_only,6,3,0.7333333333333333,0.3333333333333333,0.28205128205128205,0.6205128205128205,0.24444444444444444,0.5377777777777778,0.3333333333333333,0.7333333333333333,0.26666666666666666,0.0,1.0,0.0,0.6582401999792308,0.6714278674508807,0.44052949484576914,0.6872407961854965
role_org_only,6,4,0.7333333333333333,0.3333333333333333,0.28205128205128205,0.6205128205128205,0.24444444444444444,0.5377777777777778,0.3333333333333333,0.7333333333333333,0.26666666666666666,0.0,1.0,0.0,0.546446841702597,0.5632977082755005,0.3899359186231792,0.6454900732114548
role_org_only,6,5,0.725,0.3333333333333333,0.2801932367149758,0.6094202898550724,0.24166666666666667,0.525625,0.3333333333333333,0.725,0.275,0.0,1.0,0.0,0.6335399057717869,0.6535361319150783,0.42057161124532194,0.6486782655013609
role_org_only,6,6,0.725,0.3333333333333333,0.2801932367149758,0.6094202898550724,0.24166666666666667,0.525625,0.3333333333333333,0.725,0.275,0.0,1.0,0.0,0.5983404267492299,0.6073275487926151,0.45591328794806446,0.6517659120077529
role_org_only,6,7,0.725,0.3333333333333333,0.2801932367149758,0.6094202898550724,0.24166666666666667,0.525625,0.3333333333333333,0.725,0.275,0.0,1.0,0.0,0.6276792027215811,0.6304304021523648,0.4051753051525491,0.6598329684404752
role_org_only,6,8,0.7166666666666667,0.32950191570881227,0.27967479674796747,0.6082926829268291,0.24293785310734461,0.5283898305084745,0.32950191570881227,0.7166666666666667,0.2916666666666667,-0.0642377756471717,0.9916666666666667,0.008333333333333333,0.569481734597268,0.5633291560464458,0.37951681077103033,0.6146038186964311
role_org_only,6,9,0.725,0.3333333333333333,0.2801932367149758,0.6094202898550724,0.24166666666666667,0.525625,0.3333333333333333,0.725,0.275,0.0,1.0,0.0,0.5824178788262739,0.6086430779760218,0.3790130426720657,0.6200485140224039
role_org_only,6,10,0.725,0.3333333333333333,0.2801932367149758,0.6094202898550724,0.24166666666666667,0.525625,0.3333333333333333,0.725,0.275,0.0,1.0,0.0,0.6420674078639758,0.6113733479656377,0.4435882231673203,0.6429387925244759
shap_top_5,5,1,0.9666666666666667,0.9710925039872409,0.9543504600975865,0.9669499295936078,0.9389811738648947,0.9679014396456257,0.9710925039872409,0.9666666666666667,0.03333333333333333,0.9388379204892966,1.0,0.0,0.9922717332420602,0.9889897028546313,0.9747634336935662,0.9875681972055623
shap_top_5,5,2,0.95,0.8842013249907987,0.9121230328675708,0.9487187272285644,0.9502602660497397,0.951098901098901,0.8842013249907987,0.95,0.058333333333333334,0.8502495840266223,0.9916666666666667,0.008333333333333333,0.9715023507989727,0.9720609568258228,0.9513717803735595,0.9738066017174584
shap_top_5,5,3,0.9583333333333334,0.9017451846399215,0.9296668925166937,0.9570520605618977,0.9678041256988625,0.9594322344322345,0.9017451846399215,0.9583333333333334,0.041666666666666664,0.9168053244592346,1.0,0.0,0.9619764695990533,0.9657758233475218,0.9302944721465475,0.9620418047929389
shap_top_5,5,4,0.8833333333333333,0.8263863329652804,0.829895104895105,0.8834615384615385,0.8345959595959597,0.8840277777777777,0.8263863329652804,0.8833333333333333,0.11666666666666667,0.7784810126582278,1.0,0.0,0.9296073207715935,0.9131429812081675,0.8484121699114097,0.9124200817211289
shap_top_5,5,5,0.9166666666666666,0.8543485149655748,0.8661904761904763,0.9156309523809525,0.8872655122655123,0.9180420274170273,0.8543485149655748,0.9166666666666666,0.09166666666666666,0.7974025974025974,0.9916666666666667,0.008333333333333333,0.9272811688021979,0.9305982956786244,0.8484391425246901,0.920555343941594
shap_top_5,5,6,0.9333333333333333,0.8957018984242214,0.894580066298662,0.9334070788462443,0.8999882546394175,0.9361992013154804,0.8957018984242214,0.9333333333333333,0.075,0.8337531486146096,0.9916666666666667,0.008333333333333333,0.9583237490273014,0.9598623541599441,0.9051119868555677,0.9507400238012849
shap_top_5,5,7,0.9416666666666667,0.8949160035366931,0.9033333333333333,0.9410000000000001,0.9126262626262626,0.9406565656565656,0.8949160035366931,0.9416666666666667,0.058333333333333334,0.890738813735692,1.0,0.0,0.949504306014941,0.9452101623713773,0.9017657912108575,0.9488735124496197
shap_top_5,5,8,0.925,0.8577217801355732,0.8876846679081316,0.9227697082557419,0.9260265700483091,0.9253925120772947,0.8577217801355732,0.925,0.075,0.8513215859030837,1.0,0.0,0.9242855168607665,0.9247951005380912,0.8962658699562294,0.9229625564271565
shap_top_5,5,9,0.9166666666666666,0.8538903625110522,0.8782103451766373,0.9147381313898167,0.9073655103066868,0.9155951483157365,0.8538903625110522,0.9166666666666666,0.08333333333333333,0.8371777476255088,1.0,0.0,0.9314668595688577,0.9192572689511942,0.8215087697890038,0.8969860604881349
shap_top_5,5,10,0.9333333333333333,0.9000589448865312,0.8973049087991617,0.9337844254510922,0.8957018984242214,0.9346804511278195,0.9000589448865312,0.9333333333333333,0.06666666666666667,0.8777070063694268,1.0,0.0,0.9585644555489866,0.9507324176342868,0.9120912544118257,0.9379519447232678
shap_top_10,10,1,0.9666666666666667,0.9573365231259968,0.9573365231259968,0.9666666666666667,0.9573365231259968,0.9666666666666667,0.9573365231259968,0.9666666666666667,0.03333333333333333,0.9369085173501577,1.0,0.0,0.9984212648238507,0.9980249587458746,0.9956034582837606,0.9974807182721204
shap_top_10,10,2,0.9583333333333334,0.9017451846399215,0.9233900767852893,0.9572106772888405,0.9555555555555556,0.9597222222222221,0.9017451846399215,0.9583333333333334,0.05,0.8688524590163934,0.9916666666666667,0.008333333333333333,0.9849770419140319,0.9804314477884705,0.9596020942084822,0.9783756626561536
shap_top_10,10,3,0.95,0.8761041589988959,0.9107389686337055,0.9475252525252525,0.9643401983218917,0.9518115942028985,0.8761041589988959,0.95,0.05,0.8983050847457628,1.0,0.0,0.9775001468846041,0.9728175796551618,0.942469537741888,0.9718409616385206
shap_top_10,10,4,0.8583333333333333,0.7931695497484972,0.790952380952381,0.858845238095238,0.7907772304324029,0.8602456212370005,0.7931695497484972,0.8583333333333333,0.14166666666666666,0.7347893915756629,1.0,0.0,0.9584774601704608,0.9426553439514512,0.8673722252591721,0.9297638455032866
shap_top_10,10,5,0.9166666666666666,0.8543485149655748,0.8661904761904763,0.9156309523809525,0.8872655122655123,0.9180420274170273,0.8543485149655748,0.9166666666666666,0.09166666666666666,0.7974025974025974,0.9916666666666667,0.008333333333333333,0.9635757141035995,0.9602173189017016,0.8854779626443614,0.942813358257474
