feature_set,fold,feature,rank,mean_abs_grouped_shap
no_salary_hike_no_attrition_no_department_no_job_role,3,YearsWithCurrManager,7,0.10144301321415697
no_salary_hike_no_attrition_no_department_no_job_role,3,EmpJobSatisfaction,8,0.09215661863676763
no_salary_hike_no_attrition_no_department_no_job_role,3,DistanceFromHome,9,0.09109021738873303
no_salary_hike_no_attrition_no_department_no_job_role,3,ExperienceYearsAtThisCompany,10,0.08421835124572681
no_salary_hike_no_attrition_no_department_no_job_role,3,EducationBackground,11,0.07736760773970874
no_salary_hike_no_attrition_no_department_no_job_role,3,EmpEducationLevel,12,0.07562038039985863
no_salary_hike_no_attrition_no_department_no_job_role,3,TrainingTimesLastYear,13,0.05513769886238151
no_salary_hike_no_attrition_no_department_no_job_role,3,EmpJobInvolvement,14,0.05500412613020873
no_salary_hike_no_attrition_no_department_no_job_role,3,BusinessTravelFrequency,15,0.054171784871141423
no_salary_hike_no_attrition_no_department_no_job_role,3,NumCompaniesWorked,16,0.04792085278578371
no_salary_hike_no_attrition_no_department_no_job_role,3,EmpRelationshipSatisfaction,17,0.037149913156342036
no_salary_hike_no_attrition_no_department_no_job_role,3,EmpJobLevel,18,0.03442700576045657
no_salary_hike_no_attrition_no_department_no_job_role,3,OverTime,19,0.02976617091885095
no_salary_hike_no_attrition_no_department_no_job_role,4,EmpEnvironmentSatisfaction,1,1.099489625404466
no_salary_hike_no_attrition_no_department_no_job_role,4,YearsSinceLastPromotion,2,0.46463814996233044
no_salary_hike_no_attrition_no_department_no_job_role,4,EmpWorkLifeBalance,3,0.23418802024969207
no_salary_hike_no_attrition_no_department_no_job_role,4,ExperienceYearsInCurrentRole,4,0.2180738425052065
no_salary_hike_no_attrition_no_department_no_job_role,4,EmpHourlyRate,5,0.17837296083436943
no_salary_hike_no_attrition_no_department_no_job_role,4,DistanceFromHome,6,0.12526213613434972
no_salary_hike_no_attrition_no_department_no_job_role,4,TotalWorkExperienceInYears,7,0.1033591464213613
no_salary_hike_no_attrition_no_department_no_job_role,4,EmpJobLevel,8,0.09419592998921063
no_salary_hike_no_attrition_no_department_no_job_role,4,EmpJobSatisfaction,9,0.08904325726010333
no_salary_hike_no_attrition_no_department_no_job_role,4,EducationBackground,10,0.08644207844465401
no_salary_hike_no_attrition_no_department_no_job_role,4,BusinessTravelFrequency,11,0.08263091575483689
