system_id,v3_system_label,support_threshold,attribute,metric,gap_max_minus_min,minimum_group,minimum_value,maximum_group,maximum_value,eligible_group_count,declared_group_count,status,higher_value_is_better,maximum_gap_selection_scope,inference_scope
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,30,Gender,log_loss,0.08413142856125971,Female,0.4888026588479833,Male,0.572934087409243,2,2,estimable_descriptive_gap,False,exploratory_all_cells_reported_no_selection_adjusted_single_winner_claim,descriptive_unless_primary_simultaneous_interval_is_joined
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,30,MaritalStatus,macro_f1,0.01081062914079034,Married,0.6124408583634678,Divorced,0.6232514875042582,3,3,estimable_descriptive_gap,True,exploratory_all_cells_reported_no_selection_adjusted_single_winner_claim,descriptive_unless_primary_simultaneous_interval_is_joined
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,30,MaritalStatus,balanced_accuracy,0.005201746889562209,Divorced,0.6239355678380069,Single,0.6291373147275691,3,3,estimable_descriptive_gap,True,exploratory_all_cells_reported_no_selection_adjusted_single_winner_claim,descriptive_unless_primary_simultaneous_interval_is_joined
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,30,MaritalStatus,quadratic_weighted_kappa,0.04654245714307492,Single,0.5326192794547224,Married,0.5791617365977973,3,3,estimable_descriptive_gap,True,exploratory_all_cells_reported_no_selection_adjusted_single_winner_claim,descriptive_unless_primary_simultaneous_interval_is_joined
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,30,MaritalStatus,ordinal_mae,0.02942319651741296,Divorced,0.23880597014925373,Single,0.2682291666666667,3,3,estimable_descriptive_gap,False,exploratory_all_cells_reported_no_selection_adjusted_single_winner_claim,descriptive_unless_primary_simultaneous_interval_is_joined
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,30,MaritalStatus,recall_class_2,0.06495969653864386,Divorced,0.8648648648648649,Single,0.9298245614035088,3,3,estimable_descriptive_gap,True,exploratory_all_cells_reported_no_selection_adjusted_single_winner_claim,descriptive_unless_primary_simultaneous_interval_is_joined
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,30,MaritalStatus,recall_class_3,0.013909508660303938,Single,0.8007246376811594,Divorced,0.8146341463414634,3,3,estimable_descriptive_gap,True,exploratory_all_cells_reported_no_selection_adjusted_single_winner_claim,descriptive_unless_primary_simultaneous_interval_is_joined
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,30,MaritalStatus,recall_class_4,0.035444947209653105,Single,0.1568627450980392,Divorced,0.19230769230769232,3,3,estimable_descriptive_gap,True,exploratory_all_cells_reported_no_selection_adjusted_single_winner_claim,descriptive_unless_primary_simultaneous_interval_is_joined
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,30,MaritalStatus,multiclass_brier,0.04785205681991883,Divorced,0.31064330674248897,Single,0.3584953635624078,3,3,estimable_descriptive_gap,False,exploratory_all_cells_reported_no_selection_adjusted_single_winner_claim,descriptive_unless_primary_simultaneous_interval_is_joined
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,30,MaritalStatus,log_loss,0.09544063218907228,Divorced,0.4829630178736982,Single,0.5784036500627705,3,3,estimable_descriptive_gap,False,exploratory_all_cells_reported_no_selection_adjusted_single_winner_claim,descriptive_unless_primary_simultaneous_interval_is_joined
