scheme,seed,n_samples,job_role_value_changed_fraction,mean_total_variation,prediction_change_rate,mean_absolute_ordinal_prediction_shift,mean_original_predicted_class_probability_drop,mean_original_predicted_class_raw_margin_drop,original_macro_f1,original_balanced_accuracy,original_quadratic_weighted_kappa,original_ordinal_mae,original_recall_class_2,original_recall_class_3,original_recall_class_4,original_multiclass_brier,original_log_loss,permuted_macro_f1,permuted_balanced_accuracy,permuted_quadratic_weighted_kappa,permuted_ordinal_mae,permuted_recall_class_2,permuted_recall_class_3,permuted_recall_class_4,permuted_multiclass_brier,permuted_log_loss,delta_macro_f1,delta_balanced_accuracy,delta_quadratic_weighted_kappa,delta_ordinal_mae,delta_recall_class_2,delta_recall_class_3,delta_recall_class_4,delta_multiclass_brier,delta_log_loss,inference_scope,claim_boundary
department_conditional_within_outer_test_fold_and_department,31045,1200,0.5358333333333334,0.05892948557671583,0.0875,0.0875,0.027055380269381823,0.0577231166655353,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.6171224455268056,0.6356078895063065,0.5601360873464392,0.2525,0.9123711340206185,0.7974828375286042,0.19696969696969696,0.35692777790072255,0.5735640339552565,-0.0038987192178651098,-0.00043732757998260485,-0.007465990485186813,0.009166666666666656,-0.010309278350515538,-0.013729977116704761,0.022727272727272707,0.014321451327379497,0.022101422885954625,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
department_conditional_within_outer_test_fold_and_department,31046,1200,0.5208333333333334,0.0541022112389971,0.07833333333333334,0.07916666666666666,0.025652897549910767,0.052811301701391734,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.614757591834579,0.636752054266032,0.5577057956285874,0.25083333333333335,0.9123711340206185,0.8009153318077803,0.19696969696969696,0.35750665060621,0.5762399676197343,-0.006263572910091719,0.0007068371797428474,-0.00989628220303862,0.007500000000000007,-0.010309278350515538,-0.010297482837528626,0.022727272727272707,0.014900324032866952,0.02477735655043245,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
department_conditional_within_outer_test_fold_and_department,31047,1200,0.5291666666666667,0.054760035929290726,0.07333333333333333,0.075,0.024657827000561777,0.05866681286599487,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.6168546194208994,0.6339898787349777,0.5554058605591108,0.24833333333333332,0.9123711340206185,0.8077803203661327,0.18181818181818182,0.34955549493771504,0.560714996441117,-0.0041665453237713646,-0.002055338351311442,-0.012196217272515186,0.004999999999999977,-0.010309278350515538,-0.003432494279176246,0.007575757575757569,0.006949168364371983,0.009252385371815164,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
department_conditional_within_outer_test_fold_and_department,31048,1200,0.5133333333333333,0.04790416536955208,0.06416666666666666,0.065,0.01794223326363258,0.03760617007540228,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.626251395316283,0.6422841498568692,0.568853265430134,0.24166666666666667,0.9175257731958762,0.8123569794050344,0.19696969696969696,0.34360950084392283,0.5527745934424072,0.005230230571612315,0.0062389327705800746,0.0012511875985080634,-0.0016666666666666774,-0.005154639175257825,0.0011441647597254523,0.022727272727272707,0.0010031742705797764,0.0013119823731053692,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
department_conditional_within_outer_test_fold_and_department,31049,1200,0.5208333333333334,0.04922945497232679,0.06833333333333333,0.06916666666666667,0.018843280225488965,0.042054515654065955,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.623326701079053,0.6398031602919664,0.5650770868352735,0.24416666666666667,0.9123711340206185,0.8100686498855835,0.19696969696969696,0.3509131020334401,0.5649199333129866,0.002305536334382241,0.003757943205677239,-0.0025249909963525052,0.0008333333333333248,-0.010309278350515538,-0.0011441647597254523,0.022727272727272707,0.00830677546009706,0.013457322243684788,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
department_conditional_within_outer_test_fold_and_department,31050,1200,0.5183333333333333,0.05478027470484334,0.07916666666666666,0.07916666666666666,0.027710721676976403,0.06074861352370742,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.6183397079902732,0.6383817414037518,0.5669334765698062,0.24583333333333332,0.9278350515463918,0.8054919908466819,0.18181818181818182,0.35060277748205504,0.5644306743309154,-0.002681456754397571,0.0023365243174626737,-0.000668601261819779,0.0024999999999999745,0.005154639175257714,-0.005720823798627039,0.007575757575757569,0.007996450908711983,0.012968063261613594,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
department_conditional_within_outer_test_fold_and_department,31051,1200,0.52,0.05241015558539451,0.07166666666666667,0.07166666666666667,0.021684983803697846,0.04378612283617258,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.6067143334188793,0.6265065789175818,0.5503486221126026,0.25833333333333336,0.9123711340206185,0.7929061784897025,0.17424242424242425,0.3603185547672398,0.578340302732677,-0.01430683132579147,-0.00953863816870737,-0.01725345571902337,0.015000000000000013,-0.010309278350515538,-0.01830663615560646,0.0,0.01771222819389673,0.02687769166337517,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
department_conditional_within_outer_test_fold_and_department,31052,1200,0.5116666666666667,0.050436074832856746,0.0725,0.07333333333333333,0.021808457895610155,0.047708196785727824,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.6263463097319112,0.6423726757775686,0.5659672319632079,0.245,0.9072164948453608,0.8077803203661327,0.21212121212121213,0.34574814746803695,0.5577800271898178,0.00532514498724046,0.006327458691279486,-0.001634845868418111,0.0016666666666666496,-0.015463917525773252,-0.003432494279176246,0.03787878787878787,0.003141820894693892,0.006317416120515951,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
department_conditional_within_outer_test_fold_and_department,31053,1200,0.53,0.0543751246626517,0.07166666666666667,0.07333333333333333,0.02295190788134279,0.057159327910048886,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.6138966735483706,0.6325528516427099,0.5493311275278816,0.255,0.9020618556701031,0.7986270022883295,0.19696969696969696,0.35140080543663743,0.5636441362698539,-0.007124491196300098,-0.003492365443579226,-0.01827095030374437,0.011666666666666659,-0.020618556701030966,-0.01258581235697942,0.022727272727272707,0.008794478863294375,0.012181525200552046,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
department_conditional_within_outer_test_fold_and_department,31054,1200,0.5333333333333333,0.052128636879393585,0.06666666666666667,0.06666666666666667,0.021218361037590526,0.048072384858387524,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.6269565793368682,0.644620674174332,0.5726904252064852,0.24333333333333335,0.9226804123711341,0.8066361556064073,0.20454545454545456,0.34778278888142733,0.5603010422813414,0.0059354145921974855,0.00857545708804286,0.005088347374859192,0.0,0.0,-0.004576659038901587,0.030303030303030304,0.005176462308084273,0.008838431212039533,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
