panel,audited_attribute,eligible_groups,support_context,metric,class_label,support_status,headline_eligible,largest_supported_gap_full_precision,largest_supported_gap_display,largest_supported_gap_ci_lower_full_precision,largest_supported_gap_ci_upper_full_precision,largest_supported_gap_interval_display,predictor_policy,target_class_support,estimation_status,interpretation,proxy_metric_full_precision,proxy_metric_display,proxy_metric_ci_lower_full_precision,proxy_metric_ci_upper_full_precision,proxy_metric_interval_display
A_supported_subgroup,EmpDepartment,"[""Development"",""Finance"",""Human Resources"",""Research & Development"",""Sales""]",groups=5.0; minimum_group_support=49.0; metric_denominator>=49.0,macro_f1,N/A,support_sufficient_descriptive_estimate,True,0.2179067238180538,0.2179,0.1323343459068269,0.3787434303295506,"[0.1323, 0.3787]",,,,,,,,,
A_supported_subgroup,EmpDepartment,"[""Development"",""Finance"",""Human Resources"",""Research & Development"",""Sales""]",groups=5.0; minimum_group_support=49.0; metric_denominator>=49.0,mean_predicted_probability,2.0,support_sufficient_descriptive_estimate,True,0.2036676844688023,0.2037,0.1459146221507177,0.3237917362891916,"[0.1459, 0.3238]",,,,,,,,,
A_supported_subgroup,EmpDepartment,"[""Development"",""Finance"",""Human Resources"",""Research & Development"",""Sales""]",groups=5.0; minimum_group_support=49.0; metric_denominator>=49.0,mean_predicted_probability,3.0,support_sufficient_descriptive_estimate,True,0.1421030920658502,0.1421,0.1000914019135693,0.2407819843066564,"[0.1001, 0.2408]",,,,,,,,,
A_supported_subgroup,EmpDepartment,"[""Development"",""Finance"",""Human Resources"",""Research & Development"",""Sales""]",groups=5.0; minimum_group_support=49.0; metric_denominator>=49.0,mean_predicted_probability,4.0,support_sufficient_descriptive_estimate,True,0.061564592402952,0.0616,0.0396603892422188,0.1304603376727742,"[0.0397, 0.1305]",,,,,,,,,
A_supported_subgroup,EmpDepartment,"[""Development"",""Finance"",""Human Resources"",""Research & Development"",""Sales""]",groups=5.0; minimum_group_support=49.0; metric_denominator>=49.0,positive_prediction_rate,2.0,support_sufficient_descriptive_estimate,True,0.2451806207247442,0.2452,0.1751254335358023,0.3773450595485952,"[0.1751, 0.3773]",,,,,,,,,
A_supported_subgroup,EmpDepartment,"[""Development"",""Finance"",""Human Resources"",""Research & Development"",""Sales""]",groups=5.0; minimum_group_support=49.0; metric_denominator>=49.0,positive_prediction_rate,3.0,support_sufficient_descriptive_estimate,True,0.2152750296794618,0.2153,0.1294056076571203,0.3609111617067662,"[0.1294, 0.3609]",,,,,,,,,
A_supported_subgroup,EmpDepartment,"[""Development"",""Finance"",""Human Resources"",""Research & Development"",""Sales""]",groups=5.0; minimum_group_support=49.0; metric_denominator>=49.0,positive_prediction_rate,4.0,support_sufficient_descriptive_estimate,True,0.0612017556237142,0.0612,0.0455179967925621,0.164151135935016,"[0.0455, 0.1642]",,,,,,,,,
A_supported_subgroup,EmpDepartment,"[""Development"",""Finance"",""Human Resources"",""Research & Development"",""Sales""]",groups=5.0; minimum_group_support=49.0; metric_denominator>=28.0,precision,3.0,support_sufficient_descriptive_estimate,True,0.055019305019305,0.0550,0.0317913523706897,0.2228361285985964,"[0.0318, 0.2228]",,,,,,,,,
A_supported_subgroup,EmpDepartment,"[""Development"",""Research & Development"",""Sales""]",groups=3.0; minimum_group_support=343.0; metric_denominator>=34.0,precision,4.0,support_sufficient_descriptive_estimate,True,0.1411764705882353,0.1412,0.045614988475214,0.2790908865036769,"[0.0456, 0.2791]",,,,,,,,,
A_supported_subgroup,EmpDepartment,"[""Development"",""Finance"",""Human Resources"",""Research & Development"",""Sales""]",groups=5.0; minimum_group_support=49.0; metric_denominator>=30.0,true_positive_rate,3.0,support_sufficient_descriptive_estimate,True,0.0339912280701755,0.0340,0.0351677738075253,0.2240026785714285,"[0.0352, 0.2240]",,,,,,,,,
