sampler,model,fold,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,quadratic_weighted_kappa,adjacent_accuracy,severe_error_rate,roc_auc_ovr_macro,roc_auc_ovr_weighted,pr_auc_macro,pr_auc_weighted
smote,rf_bal,2,0.95,0.8842013249907987,0.9183836009922967,0.9485872829351089,0.9633655394524959,0.9513486312399356,0.8842013249907987,0.95,0.05,0.8986486486486487,1.0,0.0,0.967700489433308,0.9605487907143518,0.9138619560853085,0.9532872520446565
adasyn,lr,2,0.775,0.7771439087228561,0.7078773538400868,0.7886226954549936,0.6732473811442384,0.8259971796937953,0.7771439087228561,0.775,0.24166666666666667,0.5752895752895753,0.9833333333333333,0.016666666666666666,0.9241157890862158,0.9031606877101261,0.8471121633695483,0.9077462773803301
adasyn,lr_bal,2,0.775,0.7771439087228561,0.7078773538400868,0.7886226954549936,0.6732473811442384,0.8259971796937953,0.7771439087228561,0.775,0.24166666666666667,0.5752895752895753,0.9833333333333333,0.016666666666666666,0.9239420875055316,0.9030781794593011,0.846493306680897,0.9077442769022049
adasyn,rf,2,0.9416666666666667,0.8804134462029198,0.904382035666952,0.9404287667555824,0.9328634328634329,0.9410621785621786,0.8804134462029198,0.9416666666666667,0.058333333333333334,0.8839137645107794,1.0,0.0,0.9680663930341017,0.9629262524675365,0.9022790448636898,0.9499253648029615
adasyn,rf_bal,2,0.9416666666666667,0.8585602993497731,0.8994755679838553,0.939104234822467,0.9599761051373954,0.9438918757467144,0.8585602993497731,0.9416666666666667,0.058333333333333334,0.8795180722891566,1.0,0.0,0.9577251595795292,0.9540302051525246,0.8905032162872631,0.9423713170630023
smote_tomek,lr,2,0.7916666666666666,0.7984756471598576,0.731522749585147,0.80280536224707,0.6969219219219219,0.8359365615615616,0.7984756471598576,0.7916666666666666,0.21666666666666667,0.6344647519582245,0.9916666666666667,0.008333333333333333,0.921828168470627,0.9005239177539248,0.8427234540012617,0.9045599091298917
smote_tomek,lr_bal,2,0.7916666666666666,0.7984756471598576,0.731522749585147,0.80280536224707,0.6969219219219219,0.8359365615615616,0.7984756471598576,0.7916666666666666,0.21666666666666667,0.6344647519582245,0.9916666666666667,0.008333333333333333,0.921828168470627,0.9005239177539248,0.8427234540012617,0.9045599091298917
smote_tomek,rf,2,0.95,0.8842013249907987,0.9183836009922967,0.9485872829351089,0.9633655394524959,0.9513486312399356,0.8842013249907987,0.95,0.05,0.8986486486486487,1.0,0.0,0.967700489433308,0.9605487907143518,0.9138619560853085,0.9532872520446565
smote_tomek,rf_bal,2,0.95,0.8842013249907987,0.9183836009922967,0.9485872829351089,0.9633655394524959,0.9513486312399356,0.8842013249907987,0.95,0.05,0.8986486486486487,1.0,0.0,0.967700489433308,0.9605487907143518,0.9138619560853085,0.9532872520446565
random_under,lr,2,0.7166666666666667,0.7506287572077045,0.6492544492544493,0.7361375661375663,0.6142986668933373,0.8014921302789465,0.7506287572077045,0.7166666666666667,0.3,0.5305164319248826,0.9833333333333333,0.016666666666666666,0.8991004473717501,0.8746396288285371,0.794498612636982,0.8801592329046486
