feature_set,model,fold,n_features,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,quadratic_weighted_kappa,severe_error_rate,nll_log_loss,multiclass_brier
no_salary_hike_no_attrition,xgboost,10,22,0.85,0.6218390804597701,0.6010752688172043,0.8048387096774193,0.5828282828282828,0.7651515151515152,0.6218390804597701,0.85,0.15,0.6523978113936273,0.0,0.4442396465382503,0.256630500715402
pre_evaluation_features_only,catboost,1,22,0.825,0.6088516746411483,0.5653367653367654,0.7782646932646933,0.5281637531749589,0.7369602569849096,0.6088516746411483,0.825,0.175,0.6015180265654649,0.0,0.4792264670313367,0.2820219261288611
pre_evaluation_features_only,lightgbm,1,22,0.8666666666666667,0.6415470494417863,0.6126568466993999,0.817075831969449,0.5866666666666667,0.7731666666666667,0.6415470494417863,0.8666666666666667,0.13333333333333333,0.6799999999999999,0.0,0.6917933219940676,0.2458941542194584
pre_evaluation_features_only,xgboost,1,22,0.875,0.6590909090909091,0.6232620320855614,0.8249264705882352,0.5911495911495912,0.7802910052910053,0.6590909090909091,0.875,0.125,0.7053045186640472,0.0,0.41865001769787946,0.22060848609362582
pre_evaluation_features_only,catboost,2,22,0.8,0.583732057416268,0.537917087967644,0.7555106167846309,0.5,0.7166666666666668,0.583732057416268,0.8,0.2,0.5522388059701493,0.0,0.5658722189008193,0.3313854962046719
pre_evaluation_features_only,lightgbm,2,22,0.8583333333333333,0.6240031897926634,0.6096572763239431,0.812867629534296,0.5986431976530987,0.7739594792812614,0.6240031897926634,0.8583333333333333,0.14166666666666666,0.6551724137931034,0.0,0.812976627258784,0.2740045052573054
pre_evaluation_features_only,xgboost,2,22,0.8666666666666667,0.6277910685805422,0.6115694642010432,0.8170744428639165,0.5991285403050108,0.7750272331154684,0.6277910685805422,0.8666666666666667,0.13333333333333333,0.6680497925311204,0.0,0.4606495593280851,0.25278350611370176
pre_evaluation_features_only,catboost,3,22,0.8083333333333333,0.6012759170653907,0.5490147375393276,0.7635142407683392,0.5073684210526316,0.7252105263157895,0.6012759170653907,0.8083333333333333,0.19166666666666668,0.5779816513761467,0.0,0.5190140363952859,0.3037522593431431
pre_evaluation_features_only,lightgbm,3,22,0.8666666666666667,0.6634001962949331,0.6522785458269329,0.8282270865335382,0.9081632653061225,0.8801020408163266,0.6634001962949331,0.8666666666666667,0.13333333333333333,0.6923076923076923,0.0,0.6993806723839561,0.25101544907406587
pre_evaluation_features_only,xgboost,3,22,0.8666666666666667,0.6634001962949331,0.6522785458269329,0.8282270865335382,0.9081632653061225,0.8801020408163266,0.6634001962949331,0.8666666666666667,0.13333333333333333,0.6923076923076923,0.0,0.44031245916164075,0.23221329006311098
pre_evaluation_features_only,catboost,4,22,0.7833333333333333,0.5761562998405103,0.5227513227513227,0.7411640211640211,0.4817239498090562,0.7059465357337698,0.5761562998405103,0.7833333333333333,0.21666666666666667,0.5306859205776173,0.0,0.5060985297854629,0.3011326384589357
pre_evaluation_features_only,lightgbm,4,22,0.8166666666666667,0.5994049809839284,0.5947615108905432,0.7828342983181693,0.695578231292517,0.7865221088435373,0.5994049809839284,0.8166666666666667,0.18333333333333332,0.578544061302682,0.0,0.7949769485906252,0.32204898838834856
pre_evaluation_features_only,xgboost,4,22,0.825,0.5950956937799043,0.5625668449197861,0.7776470588235295,0.5334295334295334,0.7354497354497355,0.5950956937799043,0.825,0.175,0.5874263261296659,0.0,0.4908244127488285,0.2817798230061905
pre_evaluation_features_only,catboost,5,22,0.8333333333333334,0.6436781609195402,0.5845820845820846,0.7820720945720946,0.5375438596491228,0.7384912280701754,0.6436781609195402,0.8333333333333334,0.16666666666666666,0.6423248882265276,0.0,0.45382321879391385,0.2655049237996048
pre_evaluation_features_only,lightgbm,5,22,0.85,0.6239161121193789,0.5936285936285937,0.7971250971250972,0.5666666666666667,0.7508333333333332,0.6239161121193789,0.85,0.15833333333333333,0.5909090909090909,0.008333333333333333,0.8147937108913293,0.2939996438691658
pre_evaluation_features_only,xgboost,5,22,0.85,0.6239161121193789,0.5936285936285937,0.7971250971250972,0.5666666666666667,0.7508333333333332,0.6239161121193789,0.85,0.15833333333333333,0.5909090909090909,0.008333333333333333,0.4578362376904154,0.26166656431215707
pre_evaluation_features_only,catboost,6,22,0.8166666666666667,0.6085904416212946,0.558647858685983,0.766997077138137,0.5173611111111112,0.7238715277777777,0.6085904416212946,0.8166666666666667,0.19166666666666668,0.5454545454545454,0.008333333333333333,0.4668141573331125,0.2808144297584279
