run_id,config_hash,policy,attribute,group_value,interpretation_category,n_samples,minimum_group_support_threshold,group_support_eligible,metric,class_label,metric_value,metric_denominator,minimum_metric_denominator_threshold,metric_denominator_eligible,eligible_for_gap
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,40-49,protected_or_sensitive_descriptive_audit,287,30,True,precision,4.0,0.5,2,10,False,False
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,40-49,protected_or_sensitive_descriptive_audit,287,30,True,mean_predicted_probability,4.0,0.08471150127586743,287,30,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,50-59,protected_or_sensitive_descriptive_audit,137,30,True,accuracy,,0.8686131386861314,137,30,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,50-59,protected_or_sensitive_descriptive_audit,137,30,True,macro_f1,,0.6078449244979187,137,30,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,50-59,protected_or_sensitive_descriptive_audit,137,30,True,positive_prediction_rate,2.0,0.19708029197080293,137,30,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,50-59,protected_or_sensitive_descriptive_audit,137,30,True,true_positive_rate,2.0,0.9230769230769231,26,10,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,50-59,protected_or_sensitive_descriptive_audit,137,30,True,false_positive_rate,2.0,0.02702702702702703,111,10,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,50-59,protected_or_sensitive_descriptive_audit,137,30,True,precision,2.0,0.8888888888888888,27,10,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,50-59,protected_or_sensitive_descriptive_audit,137,30,True,mean_predicted_probability,2.0,0.19589201578985982,137,30,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,50-59,protected_or_sensitive_descriptive_audit,137,30,True,positive_prediction_rate,3.0,0.8029197080291971,137,30,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,50-59,protected_or_sensitive_descriptive_audit,137,30,True,true_positive_rate,3.0,0.979381443298969,97,10,True,True
