method,random_repetition,deleted_feature_count,n_samples,mean_probability_drop,sample_sd_probability_drop,median_probability_drop,mean_raw_margin_drop,sample_sd_raw_margin_drop,median_raw_margin_drop,positive_probability_drop_fraction
random,13,1,1200,0.02339241507474216,0.12156054909266427,0.0,0.09637191171796682,0.6876323719679418,0.0,0.3983333333333333
random,13,3,1200,0.0670511936078528,0.1987424455238214,0.010526336971825034,0.2847034274666415,1.1632467591881115,0.03507167100906372,0.6066666666666667
random,13,5,1200,0.10328061815304303,0.24028711307481404,0.028446472840226,0.4412173323053867,1.4266074037811185,0.10492290556430817,0.6575
random,14,1,1200,0.01943538034615108,0.11573191854697819,0.0,0.08290824281633831,0.6601272634475562,0.0,0.37583333333333335
random,14,3,1200,0.053229683868675236,0.17895717160509644,0.007895737645744194,0.21141956858841393,1.0402029965214723,0.028294213116168976,0.6
random,14,5,1200,0.09697195987488955,0.233016207779472,0.023583106922658914,0.41900255103547046,1.4273869441746236,0.07505986094474792,0.6491666666666667
random,15,1,1200,0.019040774453032316,0.11198145247395079,0.0,0.08570772150919462,0.6519890816318085,0.0,0.37583333333333335
random,15,3,1200,0.059169151837670506,0.19541633819512624,0.008680063623997536,0.247339425268583,1.1107386682983176,0.03105834126472473,0.6066666666666667
random,15,5,1200,0.09732711691233885,0.23685914751791698,0.023700367088072827,0.41927689345990077,1.4129583405269066,0.09294885396957397,0.6483333333333333
random,16,1,1200,0.022504925678395214,0.12279621059415104,0.0,0.09450936301572559,0.7272620235051751,0.0,0.385
random,16,3,1200,0.06126662025410115,0.19008777012544237,0.008715081302242411,0.26285164028638974,1.1599347967167621,0.028177976608276367,0.5975
random,16,5,1200,0.10130915479401169,0.24011829972611645,0.023629905992745504,0.4291706968808042,1.4581789151907667,0.08758747950196266,0.6625
random,17,1,1200,0.021914044043434912,0.11226198329118606,0.0,0.08130121295126931,0.597524191900975,0.0,0.4058333333333333
random,17,3,1200,0.0711241648405749,0.20324140610051447,0.013019493012105865,0.2935329456456626,1.1824804989273277,0.03981557488441467,0.6275
random,17,5,1200,0.10682142635801112,0.23917829131846483,0.029556946846083565,0.43432813363382594,1.40091742844459,0.10094215348362923,0.6808333333333333
random,18,1,1200,0.017578166946653595,0.11587820333030008,0.0,0.07212467497990777,0.618880091520831,0.0,0.3883333333333333
random,18,3,1200,0.05235022955239425,0.19026993852735635,0.00812579717555001,0.22841993306414224,1.071663609725153,0.029836654663085938,0.6
random,18,5,1200,0.09184882243696527,0.23455366791321797,0.022382782523841738,0.3936860737433987,1.3607588703125464,0.08650901913642883,0.6508333333333334
random,19,1,1200,0.023922508297179075,0.11380829232172884,0.0,0.09199902367467681,0.6505548028060251,0.0,0.4175
random,19,3,1200,0.0634991021860404,0.19477836411379787,0.010767968648608572,0.26768949984553425,1.1161795385173086,0.03887730836868286,0.625
random,19,5,1200,0.10971963352439765,0.2486025822896544,0.030237892979262992,0.47674197430086984,1.503760046599248,0.09888923168182373,0.6608333333333334
random,20,1,1200,0.02133852331531953,0.11950726821541977,0.0,0.09654787109718503,0.717434585879708,0.0,0.4141666666666667
random,20,3,1200,0.06302562714341749,0.20338164071167972,0.0069790575131940535,0.2764192035293672,1.1954354780791612,0.030553370714187622,0.5858333333333333
random,20,5,1200,0.1061421500619102,0.2508010164561677,0.02382865249288782,0.4622249771206407,1.4905340269238232,0.0874568410217762,0.66
shap_guided,0,1,1200,0.28832475229995463,0.37129896335951196,0.11739277439203627,1.5038860847736941,2.4184786314811424,0.4661634862422943,0.7416666666666667
shap_guided,0,3,1200,0.3097319642637484,0.35967971033102747,0.1877046089430615,1.6097397249289012,2.438336244577873,0.5918188393115997,0.8266666666666667
shap_guided,0,5,1200,0.307974332298669,0.3490284769632602,0.20132530823300954,1.6002378837915603,2.474189030405055,0.5810394883155823,0.8341666666666666
